sco_id,sco_title,title,sco_author,author,sco_date,date,id,subject,title_exact_match,author_exact_match,sco_title_clean,sco_title_nosub,title_nosub_exact_match,title_dist,keep,notes
https://shakespeareandco.princeton.edu/books/murasaki-shikibu-wreath-cloud/,A Wreath of Cloud,"A wreath of cloud, being the third part of 'The tale of Genji',",Murasaki Shikibu,murasaki shikibu,1927,1927,http://lccn.loc.gov/27026380,,FALSE,TRUE,A Wreath of Cloud,A Wreath of Cloud,FALSE,46,1,
https://shakespeareandco.princeton.edu/books/clement-picture-dead-portrait/,Picture Him Dead! Portrait of a Gentleman Who Was Murdered,Was it a murder?,"Clement, Frank A.","du boisgobey, fortuné;h., a. d.",1883,1883,http://www.loc.gov/item/06034409/,detective and mystery stories,FALSE,FALSE,Picture Him Dead! Portrait of a Gentleman Who Was Murdered,Picture Him Dead! Portrait of a Gentleman Who Was Murdered,FALSE,45,0,
https://shakespeareandco.princeton.edu/books/wells-way-world-going/,Way the World Is Going,"The way the world is going, guesses & forecasts of the years ahead;","Wells, H. G.","wells, h. g.",1928,1928,http://lccn.loc.gov/28016696,,FALSE,TRUE,Way the World Is Going,Way the World Is Going,FALSE,45,1,
https://shakespeareandco.princeton.edu/books/mackenzie-east-wind-love/,The East Wind of Love,"The east wind of love; being book one of 'The four winds of love',","Mackenzie, Compton","mackenzie, compton",1937,1937,http://lccn.loc.gov/37002757,,FALSE,TRUE,The East Wind of Love,The East Wind of Love,FALSE,45,1,
https://shakespeareandco.princeton.edu/books/murasaki-shikibu-lady-boat/,The Lady of the Boat,"The lady of the boat, being the fifth part of the ""Tale of Genji""",Murasaki Shikibu,murasaki shikibu,1932,1932,http://lccn.loc.gov/32026883,,FALSE,TRUE,The Lady of the Boat,The Lady of the Boat,FALSE,45,1,
https://shakespeareandco.princeton.edu/books/lee-tomorrow-new-day/,Tomorrow Is a New Day,"This great journey, a volume of autobiography, 1904-45.","Lee, Jennie","lee, jennie",1963,1963,http://lccn.loc.gov/64005583,,FALSE,TRUE,Tomorrow Is a New Day,Tomorrow Is a New Day,FALSE,45,1,
https://shakespeareandco.princeton.edu/books/mumford-golden-day/,The Golden Day,The golden day; a study in American literature and culture.,"Mumford, Lewis","mumford, lewis",1934,1934,http://lccn.loc.gov/34027096,intellectual life;history and criticism;american literature;united states;civilization;19th century,FALSE,TRUE,The Golden Day,The Golden Day,FALSE,45,1,
https://shakespeareandco.princeton.edu/books/livingstone-legacy-greece/,The Legacy of Greece: Essays,Eastern crossroads : essays on medieval Christian legacy,,"international congress on eastern christianity;monferrer sala, juan pedro",2007,2007,http://lccn.loc.gov/2007297695,eastern churches;to 1500;congresses;history,FALSE,FALSE,The Legacy of Greece: Essays,The Legacy of Greece,FALSE,45,0,
https://shakespeareandco.princeton.edu/books/holtby-pavements-anderby/,Pavements at Anderby,"Pavements at Anderby, tales of ""South Riding"" and other regions,","Holtby, Winifred","holtby, winifred;brittain, vera;reid, hilda stewart",1937,1937,http://lccn.loc.gov/38027344,south yorkshire (england);fiction,FALSE,FALSE,Pavements at Anderby,Pavements at Anderby,FALSE,44,1,
https://shakespeareandco.princeton.edu/books/shaw-geneva/,Geneva,"Geneva, Cymbeline refinished, & Good King Charles.","Shaw, George Bernard","shaw, bernard",1946,1946,http://lccn.loc.gov/47028653,,FALSE,FALSE,Geneva,Geneva,FALSE,44,1,
https://shakespeareandco.princeton.edu/books/daudet-passion-south/,A Passion of the South,Tartarin of Tarascon; Tartarin on the Alps; Artists' wives.,"Daudet, Alphonse","daudet, alphonse",1900,1900,http://www.loc.gov/item/26026989/,alps;fiction,FALSE,TRUE,A Passion of the South,A Passion of the South,FALSE,44,1,
https://shakespeareandco.princeton.edu/books/hearn-kokoro/,Kokoro,Kokoro : hints and echoes of Japanese inner life /,"Hearn, Lafcadio","hearn, lafcadio",2011,2011,http://lccn.loc.gov/2010051647,japan;civilization;folklore;social life and customs,FALSE,TRUE,Kokoro,Kokoro,FALSE,44,1,
https://shakespeareandco.princeton.edu/books/germany-speaks-21/,"Germany Speaks, by 21 Leading Members of Party and State",Political parties in Western Germany.,,"library of congress. european affairs division;meyer, ernst wilhelm",1951,1951,http://www.loc.gov/item/51060286/,political parties;germany (west),FALSE,FALSE,"Germany Speaks, by 21 Leading Members of Party and State","Germany Speaks, by 21 Leading Members of Party and State",FALSE,43,0,
https://shakespeareandco.princeton.edu/books/asquith-ghost-book-sixteen/,The Ghost Book: Sixteen New Stories of the Uncanny,Uncanny,,"gill, david macinnis",2017,2017,http://lccn.loc.gov/2017948576,young adult fiction / coming of age;juvenile works;young adult fiction;magic;boston;juvenile fiction;birthdays;revenge;fiction;young adult fiction / fantasy / wizards & witches;young adult fiction / horror;boston (mass.);electric power failures;massachusetts;witches;fantasy fiction;paranormal fiction;horror stories;horror fiction;young adult works;good and evil,FALSE,FALSE,The Ghost Book: Sixteen New Stories of the Uncanny,The Ghost Book,FALSE,43,0,
https://shakespeareandco.princeton.edu/books/ibsen-emperor-galilean-world/,Emperor and Galilean: A World-Historic Drama,Emperor and Galilean : a world-historic drama : with an introduction by William Archer.,"Ibsen, Henrik","rosenwald, edith goodkind;archer, william;lessing j. rosenwald collection (library of congress);ibsen, henrik",1911,1911,http://lccn.loc.gov/90189780,,FALSE,FALSE,Emperor and Galilean: A World-Historic Drama,Emperor and Galilean,FALSE,43,1,
https://shakespeareandco.princeton.edu/books/jones-wedgwood-medallion/,The Wedgwood Medallion,The Wedgwood medallion of Samuel Johnson : a study in iconography,"Jones, E. B. C.","pforzheimer bruce rogers collection (library of congress);tinker, chauncey brewster;rogers, bruce",1926,1926,http://lccn.loc.gov/27000652,"portraits;wedgwood ware;johnson, samuel",FALSE,FALSE,The Wedgwood Medallion,The Wedgwood Medallion,FALSE,43,1,
https://shakespeareandco.princeton.edu/books/bunyan-pilgrims-progress-grace/,Pilgrim's Progress and Grace Abounding,Grace abounding and The pilgrims's progress: the text,"Bunyan, John","bunyan, john;brown, john",1907,1907,http://lccn.loc.gov/07029060,"bunyan, john;england;early modern;christian pilgrims and pilgrimages;puritans;christian biography;authors, english;biography",FALSE,FALSE,Pilgrim's Progress and Grace Abounding,Pilgrim's Progress and Grace Abounding,FALSE,42,1,
https://shakespeareandco.princeton.edu/books/kastner-missing-miniature-adventures/,"The Missing Miniature, or the Adventures of a Sensitive Butcher",The missing miniature;,"Kästner, Erich","kästner, erich",1939,1939,http://lccn.loc.gov/39030331,,FALSE,FALSE,"The Missing Miniature, or the Adventures of a Sensitive Butcher","The Missing Miniature, or the Adventures of a Sensitive Butcher",FALSE,42,0,
https://shakespeareandco.princeton.edu/books/frazier-adonis-attis-osiris/,Adonis Attis Osiris: Studies in the History of Oriental Religion,Adonis; étude de religions orientales comparées.,"Frazier, James George","frazer;frazer, james george",1921,1921,http://lccn.loc.gov/a44000722,religions;(greek deity);adonis;history,FALSE,FALSE,Adonis Attis Osiris: Studies in the History of Oriental Religion,Adonis Attis Osiris,FALSE,42,1,french version?
https://shakespeareandco.princeton.edu/books/spanish-french-dictionary/,Spanish-French Dictionary,"Welding dictionary, French, German, Spanish, English.",,"thompson, r. n.",1950,1950,http://lccn.loc.gov/50012322,polyglot;dictionaries;welding,FALSE,FALSE,Spanish-French Dictionary,Spanish-French Dictionary,FALSE,42,0,
https://shakespeareandco.princeton.edu/books/benchley-bed-worse/,From Bed to Worse,"From bed to worse; or, Comforting thoughts about the bison,","Benchley, Robert","benchley, robert",1934,1934,http://lccn.loc.gov/34035496,,FALSE,TRUE,From Bed to Worse,From Bed to Worse,FALSE,42,1,
https://shakespeareandco.princeton.edu/books/mckenna-secretary-state/,The Secretary of State,"The secretary of state, being the second part of 'The realists'.","McKenna, Stephen","mckenna, stephen",1927,1927,http://lccn.loc.gov/30014396,,FALSE,TRUE,The Secretary of State,The Secretary of State,FALSE,42,1,
https://shakespeareandco.princeton.edu/books/lawrence-fantasia-unconscious/,Fantasia of the Unconscious,Psychoanalysis and the unconscious and Fantasia of the unconscious /,"Lawrence, D. H.","lawrence, d. h.",2005,2005,http://lccn.loc.gov/2005053744,psychoanalysis;subconsciousness,FALSE,TRUE,Fantasia of the Unconscious,Fantasia of the Unconscious,FALSE,41,1,
https://shakespeareandco.princeton.edu/books/ernst-pure/,To the Pure,"To the pure ... A study of obscenity and the censor,","Ernst, Morris Leopold","ernst, morris leopold",1928,1928,http://lccn.loc.gov/28030424,united states;pornography;law and legislation;obscenity (law);censorship,FALSE,TRUE,To the Pure,To the Pure,FALSE,41,1,
https://shakespeareandco.princeton.edu/books/gandhi-mahatma-gandhi-story/,Mahatma Gandhi: His Own Story,Letter by Mahatma Gandhi Addressed to Slovak Dušan Makovický.,"Gándhi, Mahátma","gándhí, mahátma",1910,1910,http://www.loc.gov/item/2021668030/,"correspondence;tolstoy, leo, graf;gauteng;letters;south africa;yasnaya polyana;1910-11-30;pacifism;passive resistance;johannesburg;tula oblast;russian federation;makovický, dušan",FALSE,FALSE,Mahatma Gandhi: His Own Story,Mahatma Gandhi,FALSE,41,1,
https://shakespeareandco.princeton.edu/books/lowes-road-xanadu/,The Road to Xanadu,The road to Xanadu; a study in the ways of the imagination.,"Lowes, John Livingston","lowes, john livingston",1964,1964,http://lccn.loc.gov/64006070,"imagination;coleridge, samuel taylor;rime of the ancient mariner;kubla khan",FALSE,TRUE,The Road to Xanadu,The Road to Xanadu,FALSE,41,1,
https://shakespeareandco.princeton.edu/books/grondal-romance-astronomy-music/,The Romance of Astronomy: The Music of the Spheres,"The music of the spheres; a nature lover's astronomy,","Grondal, Florence Armstrong","grondal, florence armstrong",1926,1926,http://lccn.loc.gov/26011244,astronomy,FALSE,TRUE,The Romance of Astronomy: The Music of the Spheres,The Romance of Astronomy,FALSE,41,1,
https://shakespeareandco.princeton.edu/books/joad-introduction-modern-philosophy/,An Introduction to Modern Philosophy,"Mind and matter; the philosophical introduction to modern science,","Joad, C. E. M.","joad, c. e. m. (cyril edwin mitchinson)",1925,1925,http://lccn.loc.gov/26007912,"science;philosophy, modern;philosophy",FALSE,FALSE,An Introduction to Modern Philosophy,An Introduction to Modern Philosophy,FALSE,41,1,
https://shakespeareandco.princeton.edu/books/miller-found-peace/,I Found No Peace,I found no peace; the journal of a foreign correspondent,"Miller, Webb","miller, webb",1936,1936,http://lccn.loc.gov/36032382,"journalists;correspondence, reminiscences, etc.",FALSE,TRUE,I Found No Peace,I Found No Peace,FALSE,40,1,
https://shakespeareandco.princeton.edu/books/brittain-testament-youth/,Testament of Youth,Testament of friendship : the story of Winifred Holtby /,"Brittain, Vera","brittain, vera",1980,1980,http://lccn.loc.gov/81160937,"novelists, english;friends and associates;journalists;brittain, vera;20th century;great britain;holtby, winifred;biography",FALSE,TRUE,Testament of Youth,Testament of Youth,FALSE,40,1,close enough?
https://shakespeareandco.princeton.edu/books/carr-problem-green-capsule/,The Problem of the Green Capsule,The problem of the green capsule; being: the psychologists' murder case.,"Carr, John Dickson","carr, john dickson",1939,1939,http://lccn.loc.gov/39012586,"fell, gideon (fictitious character);private investigators;england;fiction",FALSE,TRUE,The Problem of the Green Capsule,The Problem of the Green Capsule,FALSE,40,1,
https://shakespeareandco.princeton.edu/books/bryher-two-selves/,Two Selves,Bryher : two novels : Development and Two selves /,Bryher,bryher,2000,2000,http://lccn.loc.gov/99043638,"fiction;autobiographical fiction, english;lesbians",FALSE,TRUE,Two Selves,Two Selves,FALSE,40,1,
https://shakespeareandco.princeton.edu/books/leavis-new-bearings-english/,New Bearings in English Poetry,New bearings in English poetry; a study of the contemporary situation.,"Leavis, F. R.","leavis, f. r.",1960,1960,http://lccn.loc.gov/a62005386,"pound, ezra;hopkins, gerard manley;20th century;history and criticism;criticism and interpretation;english poetry;(thomas stearns);eliot, t. s.",FALSE,TRUE,New Bearings in English Poetry,New Bearings in English Poetry,FALSE,40,1,
https://shakespeareandco.princeton.edu/books/linklater-men-ness/,The Men of Ness,"The men of Ness: the saga of Thorlief Coalbiter's sons,","Linklater, Eric","linklater, eric",1932,1932,http://lccn.loc.gov/33001965,,FALSE,TRUE,The Men of Ness,The Men of Ness,FALSE,40,1,
https://shakespeareandco.princeton.edu/books/kreymborg-new-american-caravan/,The New American Caravan: A Yearbook of American Literature,"The Negro caravan, writings,",,"lee, ulysses;davis, arthur paul;brown, sterling a.",1941,1941,http://lccn.loc.gov/42007434,african americans;literary collections;american literature;african american authors,FALSE,FALSE,The New American Caravan: A Yearbook of American Literature,The New American Caravan,FALSE,40,0,
https://shakespeareandco.princeton.edu/books/macleod-dominion-dreams/,The Dominion of Dreams,Ulad of the dreams / by Fiona MacLeod [i.e. W. Sharp],"Macleod, Fiona","macleod, fiona",1907,1907,http://lccn.loc.gov/12038605,,FALSE,TRUE,The Dominion of Dreams,The Dominion of Dreams,FALSE,39,1,
https://shakespeareandco.princeton.edu/books/price-little-one/,The Little One,"The heiress of the forest; a romance of old Anjou,","Price, Eleanor C.","price, eleanor c. (eleanor catherine)",1901,1901,http://www.loc.gov/item/07000735/,anjou (france);fiction,FALSE,FALSE,The Little One,The Little One,FALSE,39,0,
https://shakespeareandco.princeton.edu/books/niles-condemned-devils-island/,Condemned to Devil's Island,"Condemned to Devil's island:  the biography of an unknown convict,","Niles, Blair","niles, blair",1928,1928,http://lccn.loc.gov/28013481,exiles;french guiana,FALSE,TRUE,Condemned to Devil's Island,Condemned to Devil's Island,FALSE,39,1,
https://shakespeareandco.princeton.edu/books/defoe-tour-england-wales/,A Tour through England and Wales,A tour through England and Wales : divided into circuites or journies /,"Defoe, Daniel","defoe, daniel",1935,1935,http://lccn.loc.gov/37005612,wales;early works to 1800;england;description and travel,FALSE,TRUE,A Tour through England and Wales,A Tour through England and Wales,FALSE,39,1,
https://shakespeareandco.princeton.edu/books/arlen-piracy/,Piracy,"""Piracy"", a romantic chronicle of these days,","Arlen, Michael","arlen, michael",1922,1922,http://lccn.loc.gov/tmp93000770,,FALSE,TRUE,Piracy,Piracy,FALSE,39,1,
https://shakespeareandco.princeton.edu/books/famous-plays-1938/,Famous Plays of 1938 – 39,Novel houses : twenty famous fictional dwellings,,"hardyment, christina",2020,2020,http://lccn.loc.gov/2019458803,dwellings in literature;history and criticism;imaginary places;english fiction;american fiction;home in literature,FALSE,FALSE,Famous Plays of 1938 – 39,Famous Plays of 1938 – 39,FALSE,39,0,
https://shakespeareandco.princeton.edu/books/stevenson-vailima-letters-correspondence/,Vailima Letters: Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin,"Vailima letters; being correspondence addressed by Robert Louis Stevenson to Sidney Colvin, November, 1890--October, 1894.","Stevenson, Robert Louis","stevenson, robert louis",1972,1972,http://lccn.loc.gov/76115278,"correspondence;samoan islands;stevenson, robert louis;travel;colvin, sidney;authors, scottish;19th century",FALSE,TRUE,Vailima Letters: Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin,Vailima Letters,FALSE,39,1,
https://shakespeareandco.princeton.edu/books/shelley-shelley-leigh-hunt/,Shelley-Leigh Hunt: How Friendship Made History,Relics of Shelley.,"Shelley, Percy Bysshe;Hunt, Leigh","garnett, richard;shelley, percy bysshe",1862,1862,http://lccn.loc.gov/29000306,,FALSE,FALSE,Shelley-Leigh Hunt: How Friendship Made History,Shelley-Leigh Hunt,FALSE,38,1,
https://shakespeareandco.princeton.edu/books/chatto-windus-miscellany/,"A Chatto and Windus Miscellany, 1928","To the Gold Coast for gold; a personal narrative,",,"burton, richard francis;cameron, verney lovett",1883,1883,http://www.loc.gov/item/05039564/,ghana;gold mines and mining;description and travel,FALSE,FALSE,"A Chatto and Windus Miscellany, 1928","A Chatto and Windus Miscellany, 1928",FALSE,38,0,
https://shakespeareandco.princeton.edu/books/brooks-american-caravan-yearbook/,The American Caravan: A Yearbook of American Literature,"The Negro caravan, writings,",,"lee, ulysses;davis, arthur paul;brown, sterling a.",1941,1941,http://lccn.loc.gov/42007434,african americans;literary collections;american literature;african american authors,FALSE,FALSE,The American Caravan: A Yearbook of American Literature,The American Caravan,FALSE,38,0,
https://shakespeareandco.princeton.edu/books/lewis-caliphs-design/,The Caliph's Design,The caliph's design : architects! where is your vortex? /,"Lewis, Wyndham","lewis, wyndham",1986,1986,http://lccn.loc.gov/86003560,avant-garde (aesthetics);20th century;19th century;history,FALSE,TRUE,The Caliph's Design,The Caliph's Design,FALSE,38,1,
https://shakespeareandco.princeton.edu/books/obrien-best-short-stories-1934/,The Best Short Stories 1934: English and American,One of those coincidences and ten other stories,,"hawthorne, julian",1899,1899,http://www.loc.gov/item/99005250/,short stories,FALSE,FALSE,The Best Short Stories 1934: English and American,The Best Short Stories 1934,FALSE,38,0,
https://shakespeareandco.princeton.edu/books/sitwell-dance-quick-dead/,Dance of the Quick and the Dead,"Dance of the quick and the dead; an entertainment of the imagination,","Sitwell, Sacheverell","sitwell, sacheverell",1936,1936,http://lccn.loc.gov/37011291,,FALSE,TRUE,Dance of the Quick and the Dead,Dance of the Quick and the Dead,FALSE,38,1,
https://shakespeareandco.princeton.edu/books/houghton-younger-generation/,The Younger Generation,"The younger generation; a comedy for parents, in three acts,","Houghton, Stanley","houghton, stanley",1910,1910,http://lccn.loc.gov/14009486,comedies,FALSE,TRUE,The Younger Generation,The Younger Generation,FALSE,38,1,
